GTEx_GWAS	Tag	PUBMED_Paper_Link	Pheno_File	Source_File	Portal	Consortium	Link	Notes	Header	Hidden	Keep	EFO	HPO	Description	Phenotype	Sample_Size	Binary	Cases	Population	Date	Declared_Effect_Allele	abbreviation	new_abbreviation	new_Phenotype	Category	Deflation	color
Yes	UKB_20002_1313_self_reported_ankylosing_spondylitis	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41202	20002_1313.assoc.tsv.gz	20002_1313.assoc.tsv.gz	http://biobank.ctsu.ox.ac.uk/	UK Biobank	https://www.dropbox.com/s/jprqeoualeo13b1/20002_1313.assoc.tsv.gz?dl=0	NA	NA	NA	Yes	NA	NA	NA	Non-cancer illness code, self-reported: ankylosing spondylitis	337119	1	968	NA	NA	NA	UN_ASP	ASP_UKBS	Ankylosing_Spondylitis_UKBS	Immune	0	#40A0A0
Yes	UKB_20002_1452_self_reported_eczema_or_dermatitis	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41202	20002_1452.assoc.tsv.gz	20002_1452.assoc.tsv.gz	http://biobank.ctsu.ox.ac.uk/	UK Biobank	https://www.dropbox.com/s/cc82wjw0gcztish/20002_1452.assoc.tsv.gz?dl=0	NA	NA	NA	Yes	NA	NA	NA	Non-cancer illness code, self-reported: eczema/dermatitis	337119	1	8718	NA	NA	NA	UN_ECZ	ECZ_UKBS	Eczema_UKBS	Allergy	0	#FFFF00
Yes	UKB_20002_1453_self_reported_psoriasis	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41202	20002_1453.assoc.tsv.gz	20002_1453.assoc.tsv.gz	http://biobank.ctsu.ox.ac.uk/	UK Biobank	https://www.dropbox.com/s/fa3gnr5oc5fnm70/20002_1453.assoc.tsv.gz?dl=0	NA	NA	NA	Yes	NA	NA	NA	Non-cancer illness code, self-reported: psoriasis	337119	1	3871	NA	NA	NA	UN_PSO	PSO_UKBS	Psoriasis_UKBS	Immune	0	#40A0A0
Yes	UKB_20002_1461_self_reported_inflammatory_bowel_disease	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41202	20002_1461.assoc.tsv.gz	20002_1461.assoc.tsv.gz	http://biobank.ctsu.ox.ac.uk/	UK Biobank	https://www.dropbox.com/s/ple1ovkvptl5uo0/20002_1461.assoc.tsv.gz?dl=0	NA	NA	NA	Yes	NA	NA	NA	Non-cancer illness code, self-reported: inflammatory bowel disease	337119	1	129	NA	NA	NA	UN_IBD	IBD_UKBS	Inflammatory_Bowel_Disease_UKBS	Immune	0	#40A0A0
Yes	UKB_20002_1462_self_reported_crohns_disease	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41202	20002_1462.assoc.tsv.gz	20002_1462.assoc.tsv.gz	http://biobank.ctsu.ox.ac.uk/	UK Biobank	https://www.dropbox.com/s/khzx4kgtri5pfpd/20002_1462.assoc.tsv.gz?dl=0	NA	NA	NA	Yes	NA	NA	NA	Non-cancer illness code, self-reported: crohns disease	337119	1	28257	NA	NA	NA	UN_CD	CD_UKBS	Crohns_Disease_UKBS	Immune	0	#40A0A0
Yes	UKB_20002_1463_self_reported_ulcerative_colitis	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41202	20002_1463.assoc.tsv.gz	20002_1463.assoc.tsv.gz	http://biobank.ctsu.ox.ac.uk/	UK Biobank	https://www.dropbox.com/s/ks1z0w3yutugblk/20002_1463.assoc.tsv.gz?dl=0	NA	NA	NA	Yes	NA	NA	NA	Non-cancer illness code, self-reported: ulcerative colitis	337119	1	1795	NA	NA	NA	UN_UC	UC_UKBS	Ulcerative_Colitis_UKBS	Immune	0	#40A0A0
Yes	UKB_20002_1464_self_reported_rheumatoid_arthritis	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41202	20002_1464.assoc.tsv.gz	20002_1464.assoc.tsv.gz	http://biobank.ctsu.ox.ac.uk/	UK Biobank	https://www.dropbox.com/s/7szllkrqvsfykrf/20002_1464.assoc.tsv.gz?dl=0	NA	NA	NA	Yes	NA	NA	NA	Non-cancer illness code, self-reported: rheumatoid arthritis	337119	1	3730	NA	NA	NA	UN_RA	RA_UKBS	Rheumatoid_Arthritis_UKBS	Immune	0	#40A0A0
Yes	UKB_20002_1466_self_reported_gout	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41202	20002_1466.assoc.tsv.gz	20002_1466.assoc.tsv.gz	http://biobank.ctsu.ox.ac.uk/	UK Biobank	https://www.dropbox.com/s/lyem529sia8ya2t/20002_1466.assoc.tsv.gz?dl=0	NA	NA	NA	Yes	NA	NA	NA	Non-cancer illness code, self-reported: gout	337119	1	4807	NA	NA	NA	UN_GOU	GOUT_UKBS	Gout_UKBS	Skeletal system disease	0	#B0B0FF
Yes	UKB_20002_1473_self_reported_high_cholesterol	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41202	20002_1473.assoc.tsv.gz	20002_1473.assoc.tsv.gz	http://biobank.ctsu.ox.ac.uk/	UK Biobank	https://www.dropbox.com/s/cqt15lbdhcctx57/20002_1473.assoc.tsv.gz?dl=0	NA	NA	NA	Yes	NA	NA	NA	Non-cancer illness code, self-reported: high cholesterol	337119	1	41296	NA	NA	NA	UN_HC	HC_UKBS	High_Cholesterol_UKBS	Cardiometabolic	0	#004000
Yes	UKB_20002_1616_self_reported_insomnia	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41202	20002_1616.assoc.tsv.gz	20002_1616.assoc.tsv.gz	http://biobank.ctsu.ox.ac.uk/	UK Biobank	https://www.dropbox.com/s/w9gp25afc0ngle5/20002_1616.assoc.tsv.gz?dl=0	NA	NA	NA	Yes	NA	NA	NA	Non-cancer illness code, self-reported: insomnia	337119	1	321	NA	NA	NA	UN_NSL	INSOMN_UKBS	Insomnia_UKBS	Psychiatric_neurologic	0	#0000A0
Yes	UKB_20016_Fluid_intelligence_score	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41202	20016.assoc.tsv.gz	20016.assoc.tsv.gz	http://biobank.ctsu.ox.ac.uk/	UK Biobank	https://www.dropbox.com/s/shsiq0brkax886j/20016.assoc.tsv.gz?dl=0	NA	NA	NA	Yes	NA	NA	NA	Fluid intelligence score	337119	0	NA	NA	NA	NA	U_FIS	FIS_UKB	Fluid_Intelligence_Score_UKB	Psychiatric_neurologic	0	#0000A0
Yes	UKB_20022_Birth_weight	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41202	20022.assoc.tsv.gz	20022.assoc.tsv.gz	http://biobank.ctsu.ox.ac.uk/	UK Biobank	https://www.dropbox.com/s/81sd0kd4kpf7q2s/20022.assoc.tsv.gz?dl=0	NA	NA	NA	Yes	NA	NA	NA	Birth weight	337119	0	NA	NA	NA	NA	U_BW	BW_UKB	Birth_Weight_UKB	Anthropometric	0	#404040
Yes	UKB_20127_Neuroticism_score	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41202	20127.assoc.tsv.gz	20127.assoc.tsv.gz	http://biobank.ctsu.ox.ac.uk/	UK Biobank	https://www.dropbox.com/s/78115y0ypy7l3gq/20127.assoc.tsv.gz?dl=0	NA	NA	NA	Yes	NA	NA	NA	Neuroticism score	337119	0	NA	NA	NA	NA	U_NS	NEUROT_UKB	Neuroticism_UKB	Psychiatric_neurologic	0	#0000A0
Yes	UKB_21001_Body_mass_index_BMI	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41202	21001.assoc.tsv.gz	21001.assoc.tsv.gz	http://biobank.ctsu.ox.ac.uk/	UK Biobank	https://www.dropbox.com/s/sweqn7nztyv42zt/21001.assoc.tsv.gz?dl=0	NA	NA	NA	Yes	NA	NA	NA	Body mass index (BMI)	337119	0	NA	NA	NA	NA	U_BMI	BMI_UKB	BMI_UKB	Anthropometric	0	#404040
Yes	UKB_23099_Body_fat_percentage	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41202	23099.assoc.tsv.gz	23099.assoc.tsv.gz	http://biobank.ctsu.ox.ac.uk/	UK Biobank	https://www.dropbox.com/s/dte97da03uwbsrm/23099.assoc.tsv.gz?dl=0	NA	NA	NA	Yes	NA	NA	NA	Body fat percentage	337119	0	NA	NA	NA	NA	U_BFP	FAT_UKB	Body_Fat_Percentage_UKB	Anthropometric	0	#404040
Yes	UKB_2395_2_Hair_or_balding_pattern_Pattern_2	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41202	2395_2.assoc.tsv.gz	2395_2.assoc.tsv.gz	http://biobank.ctsu.ox.ac.uk/	UK Biobank	https://www.dropbox.com/s/tz3lfk4ujeam5cz/2395_2.assoc.tsv.gz?dl=0	NA	NA	NA	Yes	NA	NA	NA	Hair/balding pattern: Pattern 2	337119	1	35563	NA	NA	NA	U_BP2	BLDP2_UKB	Balding_Pattern_2_UKB	Morphology	0	#808000
Yes	UKB_2395_3_Hair_or_balding_pattern_Pattern_3	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41202	2395_3.assoc.tsv.gz	2395_3.assoc.tsv.gz	http://biobank.ctsu.ox.ac.uk/	UK Biobank	https://www.dropbox.com/s/gwve5x7ys82vkzv/2395_3.assoc.tsv.gz?dl=0	NA	NA	NA	Yes	NA	NA	NA	Hair/balding pattern: Pattern 3	337119	1	41584	NA	NA	NA	U_BP3	BLDP3_UKB	Balding_Pattern_3_UKB	Morphology	0	#808000
Yes	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41202	2395_4.assoc.tsv.gz	2395_4.assoc.tsv.gz	http://biobank.ctsu.ox.ac.uk/	UK Biobank	https://www.dropbox.com/s/5kve1cndcyr0ah1/2395_4.assoc.tsv.gz?dl=0	NA	NA	NA	Yes	NA	NA	NA	Hair/balding pattern: Pattern 4	337119	1	28389	NA	NA	NA	U_BP4	BLDP4_UKB	Balding_Pattern_4_UKB	Morphology	0	#808000
Yes	UKB_3526_Mothers_age_at_death	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41202	3526.assoc.tsv.gz	3526.assoc.tsv.gz	http://biobank.ctsu.ox.ac.uk/	UK Biobank	https://www.dropbox.com/s/ezr499ww01vlgax/3526.assoc.tsv.gz?dl=0	NA	NA	NA	Yes	NA	NA	NA	Mother's age at death	337119	0	NA	NA	NA	NA	U_MAD	MAD_UKB	Mothers_Age_At_Death_UKB	Aging	0	#400040
Yes	UKB_50_Standing_height	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41202	50.assoc.tsv.gz	50.assoc.tsv.gz	http://biobank.ctsu.ox.ac.uk/	UK Biobank	https://www.dropbox.com/s/sbfgb6qd5i4cxku/50.assoc.tsv.gz?dl=0	NA	NA	NA	Yes	NA	NA	NA	Standing height	337119	0	NA	NA	NA	NA	UN_HEI	HEIGHT_UKB	Standing_Height_UKB	Anthropometric	0	#404040
Yes	UKB_6150_1_Vascular_or_heart_problems_diagnosed_by_doctor_Heart_attack	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41202	6150_1.assoc.tsv.gz	6150_1.assoc.tsv.gz	http://biobank.ctsu.ox.ac.uk/	UK Biobank	https://www.dropbox.com/s/pjyorxb39dtpoou/6150_1.assoc.tsv.gz?dl=0	NA	NA	NA	Yes	NA	NA	NA	Vascular/heart problems diagnosed by doctor: Heart attack	337119	1	7790	NA	NA	NA	UD_HA	MI_UKB	Heart_Attack_UKB	Cardiometabolic	0	#004000
Yes	UKB_6152_5_diagnosed_by_doctor_Blood_clot_in_the_leg_DVT	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41202	6152_5.assoc.tsv.gz	6152_5.assoc.tsv.gz	http://biobank.ctsu.ox.ac.uk/	UK Biobank	https://www.dropbox.com/s/epi4uhl6m71n9gm/6152_5.assoc.tsv.gz?dl=0	NA	NA	NA	Yes	NA	NA	NA	Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Blood clot in the leg (DVT)	337119	1	6905	NA	NA	NA	UD_DVT	DVT_UKB	Deep_Venous_Thrombosis_UKB	Cardiometabolic	0	#004000
Yes	UKB_6152_7_diagnosed_by_doctor_Blood_clot_in_the_lung	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41202	6152_7.assoc.tsv.gz	6152_7.assoc.tsv.gz	http://biobank.ctsu.ox.ac.uk/	UK Biobank	https://www.dropbox.com/s/th4z4pwcj982qcc/6152_7.assoc.tsv.gz?dl=0	NA	NA	NA	Yes	NA	NA	NA	Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Blood clot in the lung	337119	1	2788	NA	NA	NA	UD_BCL	PE_UKB	Pulmonary_Embolism_UKB	Cardiometabolic	0	#004000
Yes	UKB_6152_8_diagnosed_by_doctor_Asthma	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41202	6152_8.assoc.tsv.gz	6152_8.assoc.tsv.gz	http://biobank.ctsu.ox.ac.uk/	UK Biobank	https://www.dropbox.com/s/mpqf0ennkp29bi2/6152_8.assoc.tsv.gz?dl=0	NA	NA	NA	Yes	NA	NA	NA	Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Asthma	337119	1	38791	NA	NA	NA	UD_AS	ATH_UKB	Asthma_UKB	Immune	0	#40A0A0
Yes	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41202	6152_9.assoc.tsv.gz	6152_9.assoc.tsv.gz	http://biobank.ctsu.ox.ac.uk/	UK Biobank	https://www.dropbox.com/s/3irbawcy1m9no8u/6152_9.assoc.tsv.gz?dl=0	NA	NA	NA	Yes	NA	NA	NA	Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Hayfever, allergic rhinitis or eczema	337119	1	77891	NA	NA	NA	UD_HAR	HAY_UKB	Hayfever_UKB	Immune	0	#40A0A0
Yes	UKB_G40_Diagnoses_main_ICD10_G40_Epilepsy	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41202	G40.assoc.tsv.gz	G40.assoc.tsv.gz	http://biobank.ctsu.ox.ac.uk/	UK Biobank	https://www.dropbox.com/s/gem3l0ilndrww9z/G40.assoc.tsv.gz?dl=0	NA	NA	NA	Yes	NA	NA	NA	Diagnoses - main ICD10: G40 Epilepsy	337119	1	594	NA	NA	NA	UG_EPI	EPI_UKB	Epilepsy_UKB	Psychiatric_neurologic	0	#0000A0
Yes	UKB_G43_Diagnoses_main_ICD10_G43_Migraine	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41202	G43.assoc.tsv.gz	G43.assoc.tsv.gz	http://biobank.ctsu.ox.ac.uk/	UK Biobank	https://www.dropbox.com/s/02use6vjr93hqz7/G43.assoc.tsv.gz?dl=0	NA	NA	NA	Yes	NA	NA	NA	Diagnoses - main ICD10: G43 Migraine	337119	1	734	NA	NA	NA	UG_MIG	MIGR_UKB	Migraine_UKB	Psychiatric_neurologic	0	#0000A0
Yes	UKB_20002_1065_self_reported_hypertension	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41202	20002_1065.assoc.tsv.gz	20002_1065.assoc.tsv.gz	http://biobank.ctsu.ox.ac.uk/	UK Biobank	https://www.dropbox.com/s/qf9kdp8a0bw9jrv/20002_1065.assoc.tsv.gz?dl=0	NA	NA	NA	Yes	NA	NA	NA	Non-cancer illness code, self-reported: hypertension	337119	1	87690	NA	NA	NA	UN_HPT	HPT_UKBS	Hypertension_UKBS	Cardiometabolic	0	#004000
Yes	ADIPOGen_Adiponectin	http://www.ncbi.nlm.nih.gov/pubmed/22479202	adipogen.discovery.eur_.meta_.public.release.part1_.txt	adipogen.discovery.eur_.meta_.public.release.part1_.txt	http://www.mcgill.ca/genepi/adipogen-consortium	ADIPOGen	http://www.mcgill.ca/genepi/files/genepi/adipogen.discovery.eur_.meta_.public.release.part1_.txt	NA	NA	NA	Yes	EFO_0004502	NA	NA	Adiponectin	39883	0	NA	EUR	NA	NA	ANT	ADPN	Adiponectin	Cardiometabolic	1	#004000
Yes	Astle_et_al_2016_Eosinophil_counts	https://www.ncbi.nlm.nih.gov/pubmed/27863252	eo_build37_172275_20161212.tsv.gz	eo_build37_172275_20161212.tsv.gz	http://www.ebi.ac.uk/gwas/downloads/summary-statistics	Astle_et_al_2016	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/AstleWJ_27863252_GCST004606/eo_build37_172275_20161212.tsv.gz	NA	VARIANT        ID        CHR        BP        REF        ALT        ALT_MINOR        DIRECTION        EFFECT        SE        P        MLOG10P        ALT_FREQ        MA_FREQ	NA	Yes	EFO_0004842	NA	NA	Eosinophil counts	173480	0	NA	EUR	NA	NA	BEC	EC	Eosinophil_Count	Blood	0	#C00000
Yes	Astle_et_al_2016_Granulocyte_count	https://www.ncbi.nlm.nih.gov/pubmed/27863252	gran_build37_169822_20161212.tsv.gz	gran_build37_169822_20161212.tsv.gz	http://www.ebi.ac.uk/gwas/downloads/summary-statistics	Astle_et_al_2016	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/AstleWJ_27863252_GCST004614/gran_build37_169822_20161212.tsv.gz	NA	VARIANT        ID        CHR        BP        REF        ALT        ALT_MINOR        DIRECTION        EFFECT        SE        P        MLOG10P        ALT_FREQ        MA_FREQ	NA	Yes	EFO_0007987	NA	NA	Granulocyte count	173480	0	NA	EUR	NA	NA	BGC	GC	Granulocyte_Count	Blood	0	#C00000
